使用组织,编码,名称,规格型号,产品类型,基本单位,物料分组,备注
"UnitX, Inc.",OAL6020-5KDCM,V6 Mini 壳体压铸模具,V6 Mini 壳体压铸模具（5K均分),配件,Pcs,原材料,
"UnitX, Inc.",OAL6020-5KIM,V6 Mini 漫射罩注塑模具,V6 Mini 漫射罩注塑模具（5K均分）,配件,Pcs,原材料,
"UnitX, Inc.",OAL6020-DL,V6 Mini 透明漫射罩,V6 Mini 透明漫射罩,配件,Pcs,原材料,
"UnitX, Inc.",OAL6020-DW,V6 Mini 白色漫射罩,V6 Mini 白色漫射罩,配件,Pcs,原材料,
"UnitX, Inc.",OAL6020-LD,V6 Mini 灯壳,V6 Mini 灯壳,配件,Pcs,原材料,
"UnitX, Inc.",OAL6020-PCBA,V6 Mini 灯板,V6 Mini 灯板,配件,Pcs,原材料,
"UnitX, Inc.",OAM4000,V4相机支架结构-CNC,V4标准相机支架结构一套,配件,套,原材料,
"UnitX, Inc.",OAM5000,V5相机支架结构-CNC,V5整套,配件,Pcs,原材料,
"UnitX, Inc.",OAM-CHS001,相机座,AL/6061 (CNC加工）,配件,Pcs,原材料,
"UnitX, Inc.",OAS6-AM-001,V6辅料,胶垫/3M导热胶等辅料,配件,Pcs,原材料,
"UnitX, Inc.",OAS6-CS-001,V6-电子器件系列样品,V6电子器件系列,配件,Pcs,原材料,
"UnitX, Inc.",OAS6-CS-002,V6线缆系列样品,V6项目相关线材样品,配件,Pcs,原材料,
"UnitX, Inc.",OCBA0-0001,其他工业相机,basler/其他品牌/面阵/非常规工业相机,产品,Pcs,成品,
"UnitX, Inc.",Optical prism,光学棱镜,光学棱镜,配件,Pcs,原材料,
"UnitX, Inc.",OPVS-GY0001,外购视觉系统,外购视觉系统（包含相机、光源等）,产品,套,成品,
"UnitX, Inc.",OWL-35-04,外壁镜,外壁镜,产品,Pcs,成品,
"UnitX, Inc.",PA-12V-2A,电源适配器,12V/2A,配件,Pcs,原材料,
"UnitX, Inc.",PCIE-10EG-PW,PCIE-网口网卡,万兆网卡,配件,Pcs,原材料,
"UnitX, Inc.",PCIE-2EG-PW,PCIE-网口网卡,PCIE-2口千兆网卡,配件,Pcs,原材料,
"UnitX, Inc.",PCIE-4U3-PW,PCIE-USB口网卡,PCIE/4口USB3.0/独立供电,配件,Pcs,原材料,
"UnitX, Inc.",PCNM2512K3R00FST5,片式电阻器,PCNM2512K3R00FST5,配件,Pcs,原材料,
"UnitX, Inc.",PLC-MAGY01,PLC配套物料,PLC/伺服电机等配套物料,配件,Pcs,原材料,
"UnitX, Inc.",PLR25.5,偏振镜,PLR25.5mm（S35/25/16),配件,Pcs,原材料,
"UnitX, Inc.",PLR30.5,偏振镜,PLR30.5mm (S50）,配件,Pcs,原材料,
"UnitX, Inc.",PLR35.5,偏振镜,PLR35.5mm（121系列）,配件,Pcs,原材料,
"UnitX, Inc.",PW-09-20-C-P,电源线,NEMA6-20P to C13/20A/3feets,配件,Pcs,原材料,
"UnitX, Inc.",PW-18-20-C-P,电源线,NEMA6-20P to C13/20A/6feets,配件,Pcs,原材料,
"UnitX, Inc.",PW-30-15-C-B,电源线,"3M,15A美规线",配件,Pcs,原材料,
"UnitX, Inc.",PW-30-15-C-I,电源线,"3M,15A 国标线",配件,Pcs,原材料,
"UnitX, Inc.",PW-50-15-C-B,电源线,"5M,15A美规线",配件,Pcs,原材料,
"UnitX, Inc.",PW-50-15-C-I,电源线,"5M,15A 国标线",配件,Pcs,原材料,
"UnitX, Inc.",Q570,主板,Q570,配件,Pcs,原材料,
"UnitX, Inc.",qcwl,期初应收-视觉检测系统,,产品,Pcs,,
"UnitX, Inc.",RCP-5SPFFP-SCU7B10,插线网口,RCP-5SPFFP-SCU7B10/插线网口,配件,Pcs,原材料,
"UnitX, Inc.",S1W0-505057-0001,LED灯珠,Seoul/S1W0-5050577006,配件,Pcs,原材料,
"UnitX, Inc.",Sales cases-MP-V4,销售箱配件-V4,V4销售箱配件-机加工件,配件,套,原材料,
"UnitX, Inc.",Sample-001,样品-001,美国研发样品,产品,Pcs,原材料,
"UnitX, Inc.",Sample-002,样品-002,中国国内使用,配件,Pcs,原材料,
"UnitX, Inc.",SM-CBA-0001,相机配套材料,工业相机配套材料,配件,Pcs,原材料,
"UnitX, Inc.",Technical service fee,技术服务费,外包技术服务费用,配件,Pcs,,
"UnitX, Inc.",Test box-V4/V5,测试盒子,V4/V5 test/3D printing,产品,套,成品,
"UnitX, Inc.",Test IP-V4/V5,图片底板,深色亚克力板/v4/v5 test lmagingPLate,配件,Pcs,原材料,
"UnitX, Inc.",U21T,SSD硬盘,P5530/0.96T,配件,Pcs,原材料,
"UnitX, Inc.",U22T,SSD硬盘,英特尔P5520 1.9,配件,Pcs,原材料,
"UnitX, Inc.",U24T,SSD硬盘,P5520/3.84T,配件,Pcs,原材料,
"UnitX, Inc.",UX-LB-CD01,标签,标签,配件,套,原材料,
"UnitX, Inc.",W680,主板,W680,配件,Pcs,原材料,
"UnitX, Inc.",XF-5MDT03X110B-F10,远心镜头,0.3X/F10,配件,Pcs,成品,
"UnitX, Inc.",XHP50D-LED,LED灯珠,XHP50D灯珠,配件,Pcs,原材料,
"UnitX, Inc.",Xlamp-XPG2,XPG2-LED灯珠,XPG-BWT,配件,Pcs,原材料,
"UnitX, Inc.",Xlamp-XPG3,XPG3-LED灯珠,XPGD-WT/XP-G3 white,配件,Pcs,原材料,
